頻道,日期,影片ID,標題,影片長度,觀看人數,網址
ctitv,20190328,-9wUVnj663Y,隔山打瑜？政治操弄？　NCC開罰中天新聞百萬,138,44862,https://youtu.be/-9wUVnj663Y
ctitv,20190328,NJRJ6SwL998,超然機關變「抄藍」？　網譙：NCC變髒兮兮,104,13033,https://youtu.be/NJRJ6SwL998
ctitv,20190328,gf5Qa1of_ag,播太多韓國瑜新聞！NCC重罰中天100萬　更換新聞主管,172,54363,https://youtu.be/gf5Qa1of_ag
ctitv,20190328,jbmfmXSJ2x4,我要當下個鄭捷！　台鐵亮刀男遭「收押」,116,1462,https://youtu.be/jbmfmXSJ2x4
ctitv,20190328,WXWlRahM9ao,親綠電視台都做！　唯獨中天新聞遭NCC開罰,142,26634,https://youtu.be/WXWlRahM9ao
ctitv,20190328,Q1IKRyLEZAE,2020恐選不贏韓　蔡、賴靠陸委會出招？,77,16383,https://youtu.be/Q1IKRyLEZAE
ctitv,20190328,3kn4yqYLt1U,貨車右轉撞直行機車　海軍女下士慘遭輾斃,52,720,https://youtu.be/3kn4yqYLt1U
ctitv,20190328,hxC1EGDpGEc,上任3個多月　韓國瑜：市民出現光榮感！,79,16791,https://youtu.be/hxC1EGDpGEc
ctitv,20190327,_omDyEINb6g,韓流襲陸最終站　200台商挺韓博感情,112,64202,https://youtu.be/_omDyEINb6g
ctitv,20190327,JzA4Ep-UECc,【氣象】中午高溫近30度　外出防曬多喝水,127,1134,https://youtu.be/JzA4Ep-UECc
ctitv,20190327,HR04m18i1Kc,妙天成立國會黨　力爭國會席次,82,9581,https://youtu.be/HR04m18i1Kc
ctitv,20190327,5oPpV22gkh0,韓國瑜金句接地氣！　訪陸不忘「韓式幽默」,74,18512,https://youtu.be/5oPpV22gkh0
ctitv,20190327,zYV_v5eURSU,東區沒落西區崛起　藝人副業紛前進西門町,94,2045,https://youtu.be/zYV_v5eURSU
ctitv,20190327,6vcHDQN9y3E,高雄籌備青年局　韓國瑜借鏡廈門、深圳,84,9447,https://youtu.be/6vcHDQN9y3E
ctitv,20190327,qM-Uxp2C7-Y,台鐵揮刀男FB預告犯案　涉公共危險送辦,107,1111,https://youtu.be/qM-Uxp2C7-Y
ctitv,20190327,SViEg42CNs4,「我要當下個鄭捷」　男車廂亮刀、遭3正義哥壓制,137,2865,https://youtu.be/SViEg42CNs4
ctitv,20190327,KcktM_NEv2M,引頸期待！　韓粉盼市長回國　做「土包子」接機,109,44110,https://youtu.be/KcktM_NEv2M
ctitv,20190327,4hlXplyjOWw,民眾CALL-IN、洗版NCC臉書　留言蓋樓挺中天,79,31080,https://youtu.be/4hlXplyjOWw
ctitv,20190327,v4mNjlqfeIA,兩套標準？　曾款待中聯辦　陸委會：彰顯主權,106,15040,https://youtu.be/v4mNjlqfeIA
ctitv,20190327,1uBkFd2HpJ0,神秘香蕉總裁失智爆家變！　千億財產裁定社會局監管,104,1925,https://youtu.be/1uBkFd2HpJ0
ctitv,20190327,zyAelIug7Tc,韓國瑜取經廈門自動化碼頭　稱很震撼！,80,12323,https://youtu.be/zyAelIug7Tc
ctitv,20190327,xWKgefsprIs,遭陳致中告外患罪！　韓國瑜反嗆：要不要自首外遇罪？,85,53228,https://youtu.be/xWKgefsprIs
ctitv,20190327,hrL6yzZ4Wk4,控告總統涉內亂罪！　周錫瑋：破壞中華民國國體,68,33252,https://youtu.be/hrL6yzZ4Wk4
ctitv,20190327,tF-TkfTCxj8,2016「必比登」出爐　10餐廳首度入推薦榜,105,683,https://youtu.be/tF-TkfTCxj8
ctitv,20190327,DcLpN1BNmnQ,韓國瑜選總統、李佳芬當市長　韓粉熱情難擋,103,43411,https://youtu.be/DcLpN1BNmnQ
ctitv,20190327,g6E1r7qGYJs,金黃湯頭、濃郁奶香　廈門「沙茶麵」必吃美食,77,534,https://youtu.be/g6E1r7qGYJs
ctitv,20190327,jgZFmZr5ceY,韓國瑜28號返台！　韓粉號召「萬人接機」挺韓,94,193796,https://youtu.be/jgZFmZr5ceY
ctitv,20190327,4NVnR7z1fbw,NCC「比例標準」說不清　媒體新聞自由被犧牲,118,10807,https://youtu.be/4NVnR7z1fbw
ctitv,20190327,fF0Dfcbw47U,陸委會設韓國瑜條款　韓國瑜：非常不聰明,113,19625,https://youtu.be/fF0Dfcbw47U
ctitv,20190327,U4CBaRL0vRw,NCC對中天代表採「隔離詢答」　審問犯人嗎？,143,19177,https://youtu.be/U4CBaRL0vRw
